section,key,label,value,unit,tier,source,note
2. Historical financials (Form 990),progrev_2019,FY2019 program service revenue,353671,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 2g.
2. Historical financials (Form 990),invinc_2019,FY2019 investment and other income,3602,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 3.
2. Historical financials (Form 990),salaries_2019,FY2019 salaries and officer compensation,3593405,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Officer compensation plus other salaries and wages, both public."
2. Historical financials (Form 990),payrolltax_2019,FY2019 payroll taxes,283482,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part IX line 10.
2. Historical financials (Form 990),rev_2020,FY2020 total revenue,7016304,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total revenue."
2. Historical financials (Form 990),exp_2020,FY2020 total functional expenses,5670504,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total functional expenses."
2. Historical financials (Form 990),assets_2020,FY2020 total assets,7157462,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),liab_2020,FY2020 total liabilities,1357279,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),contrib_2020,FY2020 contributions and grants,6738370,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 1h.
2. Historical financials (Form 990),progrev_2020,FY2020 program service revenue,304509,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 2g.
2. Historical financials (Form 990),invinc_2020,FY2020 investment and other income,21624,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 3.
2. Historical financials (Form 990),salaries_2020,FY2020 salaries and officer compensation,3755317,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Officer compensation plus other salaries and wages, both public."
2. Historical financials (Form 990),payrolltax_2020,FY2020 payroll taxes,290730,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part IX line 10.
2. Historical financials (Form 990),rev_2021,FY2021 total revenue,11973523,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total revenue."
2. Historical financials (Form 990),exp_2021,FY2021 total functional expenses,6893690,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total functional expenses."
2. Historical financials (Form 990),assets_2021,FY2021 total assets,12593796,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),liab_2021,FY2021 total liabilities,1713780,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),contrib_2021,FY2021 contributions and grants,11624463,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 1h.
2. Historical financials (Form 990),progrev_2021,FY2021 program service revenue,383141,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 2g.
2. Historical financials (Form 990),invinc_2021,FY2021 investment and other income,237,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 3.
2. Historical financials (Form 990),salaries_2021,FY2021 salaries and officer compensation,4293069,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Officer compensation plus other salaries and wages, both public."
2. Historical financials (Form 990),payrolltax_2021,FY2021 payroll taxes,339149,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part IX line 10.
2. Historical financials (Form 990),rev_2022,FY2022 total revenue,19305952,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total revenue."
2. Historical financials (Form 990),exp_2022,FY2022 total functional expenses,9316393,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total functional expenses."
2. Historical financials (Form 990),assets_2022,FY2022 total assets,23406064,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),liab_2022,FY2022 total liabilities,2536489,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),contrib_2022,FY2022 contributions and grants,18348946,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 1h.
2. Historical financials (Form 990),progrev_2022,FY2022 program service revenue,1064285,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 2g.
2. Historical financials (Form 990),invinc_2022,FY2022 investment and other income,14416,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 3.
2. Historical financials (Form 990),salaries_2022,FY2022 salaries and officer compensation,5963333,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Officer compensation plus other salaries and wages, both public."
2. Historical financials (Form 990),payrolltax_2022,FY2022 payroll taxes,454590,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part IX line 10.
2. Historical financials (Form 990),rev_2023,FY2023 total revenue,22391041,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total revenue."
2. Historical financials (Form 990),exp_2023,FY2023 total functional expenses,13659379,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total functional expenses."
2. Historical financials (Form 990),assets_2023,FY2023 total assets,31782416,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),liab_2023,FY2023 total liabilities,2181179,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),contrib_2023,FY2023 contributions and grants,20709887,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 1h.
2. Historical financials (Form 990),progrev_2023,FY2023 program service revenue,1066130,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 2g.
2. Historical financials (Form 990),invinc_2023,FY2023 investment and other income,672813,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part VIII line 3.
2. Historical financials (Form 990),salaries_2023,FY2023 salaries and officer compensation,7756234,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Officer compensation plus other salaries and wages, both public."
2. Historical financials (Form 990),payrolltax_2023,FY2023 payroll taxes,606465,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Form 990 Part IX line 10.
2. Historical financials (Form 990),rev_2024,FY2024 total revenue,28580411,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total revenue."
2. Historical financials (Form 990),exp_2024,FY2024 total functional expenses,18275646,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, total functional expenses."
2. Historical financials (Form 990),assets_2024,FY2024 total assets,42583791,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Form 990 Part I, end of year."
2. Historical financials (Form 990),liab_2024,FY2024 total liabilities,2676737,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Derived as total assets less net assets, both public."
2. Historical financials (Form 990),contrib_2024,FY2024 contributions and grants,26008174,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","ProPublica reports the FY2024 revenue mix as approximately 91% contributions and 4% program services. Contributions = 0.91 x total revenue; program service revenue = 0.04 x total revenue; the 5% residual is carried as investment and other income. Total liabilities are derived as total assets less net assets, both of which are public."
2. Historical financials (Form 990),progrev_2024,FY2024 program service revenue,1143216,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","ProPublica reports the FY2024 revenue mix as approximately 91% contributions and 4% program services. Contributions = 0.91 x total revenue; program service revenue = 0.04 x total revenue; the 5% residual is carried as investment and other income. Total liabilities are derived as total assets less net assets, both of which are public."
2. Historical financials (Form 990),invinc_2024,FY2024 investment and other income,1429021,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","ProPublica reports the FY2024 revenue mix as approximately 91% contributions and 4% program services. Contributions = 0.91 x total revenue; program service revenue = 0.04 x total revenue; the 5% residual is carried as investment and other income. Total liabilities are derived as total assets less net assets, both of which are public."
2. Historical financials (Form 990),salaries_2024,FY2024 salaries and officer compensation,10260344,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","Officer compensation plus other salaries and wages, both public."
2. Historical financials (Form 990),payrolltax_2024,FY2024 payroll taxes,800307,USD,DERIVED,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127","FY2023 payroll tax of $606,465 on salaries of $7,756,234 implies an effective rate of 7.82%. Applied to FY2024 salaries of $10,260,344 gives $800,307."
2. Historical financials (Form 990),net_assets_2024,FY2024 net assets,39907054,USD,PUBLIC,"IRS Form 990 via ProPublica Nonprofit Explorer, EIN 94-3346127 - https://projects.propublica.org/nonprofits/organizations/943346127",Public. Used as the control total against which derived liabilities are backed out.
3. Published impact metrics,impact_participants_2022,2022 participants served,7041,people,PUBLIC,"Upwardly Global, 2022 Annual Report 'By the Numbers' - https://annual-report.upwardlyglobal.org/2022/by-the-numbers/","7,041 program participants across career-coaching and online programs; 1,116 placed in thriving-wage jobs; $66,481 average annual starting salary."
3. Published impact metrics,impact_placements_2022,2022 job placements,1116,people,PUBLIC,"Upwardly Global, 2022 Annual Report 'By the Numbers' - https://annual-report.upwardlyglobal.org/2022/by-the-numbers/","7,041 program participants across career-coaching and online programs; 1,116 placed in thriving-wage jobs; $66,481 average annual starting salary."
3. Published impact metrics,impact_salary_2022,2022 average starting salary,66481,USD,PUBLIC,"Upwardly Global, 2022 Annual Report 'By the Numbers' - https://annual-report.upwardlyglobal.org/2022/by-the-numbers/","7,041 program participants across career-coaching and online programs; 1,116 placed in thriving-wage jobs; $66,481 average annual starting salary."
3. Published impact metrics,impact_participants_2025,2025 participants served,13350,people,PUBLIC,"Upwardly Global, Impact page (2025 annual metrics) - https://www.upwardlyglobal.org/impact/","13,350 jobseekers supported; 1,730+ placed; $67,580 average starting salary; $58,790 average salary gain; 100+ employer partners; 87 workforce partnerships."
3. Published impact metrics,impact_placements_2025,2025 job placements,1730,people,PUBLIC,"Upwardly Global, Impact page (2025 annual metrics) - https://www.upwardlyglobal.org/impact/","13,350 jobseekers supported; 1,730+ placed; $67,580 average starting salary; $58,790 average salary gain; 100+ employer partners; 87 workforce partnerships."
3. Published impact metrics,impact_salary_2025,2025 average starting salary,67580,USD,PUBLIC,"Upwardly Global, Impact page (2025 annual metrics) - https://www.upwardlyglobal.org/impact/","13,350 jobseekers supported; 1,730+ placed; $67,580 average starting salary; $58,790 average salary gain; 100+ employer partners; 87 workforce partnerships."
3. Published impact metrics,impact_salary_gain_2025,2025 average salary gain,58790,USD,PUBLIC,"Upwardly Global, Impact page (2025 annual metrics) - https://www.upwardlyglobal.org/impact/",Used as an external calibration check on the synthetic program mix.
3. Published impact metrics,participant_interpolation,Interpolation method for unpublished years,"Participant and placement counts are published for 2022 and 2025 only. Intervening years are interpolated on a constant compound growth basis between the two published points: participants grow at (13,350/7,041)^(1/3)-1 = 23.75% a year and placements at (1,730/1,116)^(1/3)-1 = 15.75% a year. FY2024 is the base year of the model, so it matters that this is an interpolation between two real observations rather than a free assumption.",text,DERIVED,"Upwardly Global, 2022 Annual Report 'By the Numbers' - https://annual-report.upwardlyglobal.org/2022/by-the-numbers/; Upwardly Global, Impact page (2025 annual metrics) - https://www.upwardlyglobal.org/impact/","Two real observations, constant growth between them. No free parameters."
4. Sector benchmarks,bench_program_ratio_min,Minimum program expense ratio,0.65,% of total expenses,BENCHMARK,"BBB Wise Giving Alliance, Standards for Charity Accountability, Standards 8, 9 and 10 - https://give.org/bbb-standards-for-charity-accountability",BBB Standard 8: spend at least 65% of total expenses on program activities.
4. Sector benchmarks,bench_fundraising_ratio_max,Maximum fundraising cost ratio,0.35,% of related contributions,BENCHMARK,"BBB Wise Giving Alliance, Standards for Charity Accountability, Standards 8, 9 and 10 - https://give.org/bbb-standards-for-charity-accountability",BBB Standard 9: spend no more than 35% of related contributions on fundraising.
4. Sector benchmarks,bench_net_asset_multiple_max,Maximum unrestricted net assets,3.0,x annual expenses,BENCHMARK,"BBB Wise Giving Alliance, Standards for Charity Accountability, Standards 8, 9 and 10 - https://give.org/bbb-standards-for-charity-accountability","BBB Standard 10: unrestricted net assets available for use should not exceed three times the prior year's expenses or the current year's budget, whichever is higher. This is the binding constraint at the top of the range for this organization."
4. Sector benchmarks,bench_reserve_months_min,"Operating reserve, low end of target",3.0,months of expenses,BENCHMARK,"Propel Nonprofits, Operating Reserves with Nonprofit Policy Examples - https://propelnonprofits.org/resources/operating-reserves-with-nonprofit-policy-examples/",Propel Nonprofits: a commonly used reserve goal is three to six months of expenses.
4. Sector benchmarks,bench_reserve_months_max,"Operating reserve, high end of target",6.0,months of expenses,BENCHMARK,"Propel Nonprofits, Operating Reserves with Nonprofit Policy Examples - https://propelnonprofits.org/resources/operating-reserves-with-nonprofit-policy-examples/",Propel Nonprofits: a commonly used reserve goal is three to six months of expenses.
4. Sector benchmarks,bench_reserve_months_ceiling,Reserve ceiling,24.0,months of expenses,BENCHMARK,"Propel Nonprofits, Operating Reserves with Nonprofit Policy Examples - https://propelnonprofits.org/resources/operating-reserves-with-nonprofit-policy-examples/","Propel Nonprofits: at the high end, reserves should not exceed two years of budget."
5. Functional expense allocation (modelled),fsplit_prog_2019,FY2019 program services share,0.762,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_mg_2019,FY2019 management and general share,0.14,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_fr_2019,FY2019 fundraising share,0.098,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_prog_2020,FY2020 program services share,0.768,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_mg_2020,FY2020 management and general share,0.137,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_fr_2020,FY2020 fundraising share,0.095,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_prog_2021,FY2021 program services share,0.774,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_mg_2021,FY2021 management and general share,0.134,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_fr_2021,FY2021 fundraising share,0.092,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_prog_2022,FY2022 program services share,0.78,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_mg_2022,FY2022 management and general share,0.129,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_fr_2022,FY2022 fundraising share,0.091,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_prog_2023,FY2023 program services share,0.783,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_mg_2023,FY2023 management and general share,0.124,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_fr_2023,FY2023 fundraising share,0.093,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_prog_2024,FY2024 program services share,0.785,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_mg_2024,FY2024 management and general share,0.12,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
5. Functional expense allocation (modelled),fsplit_fr_2024,FY2024 fundraising share,0.095,% of expenses,SYNTHETIC,Analyst assumption - see 09_Management_Report.pdf for rationale,"Applied to the filed total expense figure for each year, so program + management and general + fundraising reconciles exactly to the Form 990 total. The gentle upward drift in the program share reflects fixed-cost absorption as the organization roughly tripled in size between FY2019 and FY2024: administrative capacity grew more slowly than programs. Treat the level as an assumption and the direction as the analytically meaningful part."
